1114364: {'map': 0.025641025641025644, 'bpref': 0.16666666666666666, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.06666666666666667, 'P_20': 0.05, 'P_30': 0.03333333333333333, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.002, 'P_1000': 0.001, 'ndcg': 0.167777341371258}
253: {'map': 0.10516399954602203, 'bpref': 0.6, 'P_5': 0.2, 'P_10': 0.1, 'P_15': 0.06666666666666667, 'P_20': 0.05, 'P_30': 0.03333333333333333, 'P_100': 0.02, 'P_200': 0.01, 'P_500': 0.004, 'P_1000': 0.003, 'ndcg': 0.38564624561108346}
65792: {'map': 0.0016366251246511022, 'bpref': 0.5, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.0, 'P_200': 0.0, 'P_500': 0.002, 'P_1000': 0.002, 'ndcg': 0.06989424958830023}
33025: {'map': 0.034307077109216474, 'bpref': 0.6000000000000002, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.06666666666666667, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.03, 'P_200': 0.025, 'P_500': 0.016, 'P_1000': 0.008, 'ndcg': 0.2831533730029676}
688400: {'map': 0.005067585703395927, 'bpref': 0.6666666666666666, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.002, 'P_1000': 0.002, 'ndcg': 0.09731225941581399}
491793: {'map': 0.020439225918677972, 'bpref': 0.6666666666666666, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.03333333333333333, 'P_100': 0.01, 'P_200': 0.01, 'P_500': 0.004, 'P_1000': 0.002, 'ndcg': 0.16034669670090382}
917784: {'map': 0.07836483483581198, 'bpref': 1.0, 'P_5': 0.2, 'P_10': 0.1, 'P_15': 0.06666666666666667, 'P_20': 0.05, 'P_30': 0.06666666666666667, 'P_100': 0.03, 'P_200': 0.015, 'P_500': 0.008, 'P_1000': 0.005, 'ndcg': 0.2972880161671492}
131359: {'map': 0.09425216947422155, 'bpref': 0.6, 'P_5': 0.2, 'P_10': 0.1, 'P_15': 0.13333333333333333, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.02, 'P_200': 0.01, 'P_500': 0.004, 'P_1000': 0.003, 'ndcg': 0.3196565780074516}
65830: {'map': 0.03333333333333333, 'bpref': 0.14814814814814817, 'P_5': 0.0, 'P_10': 0.1, 'P_15': 0.13333333333333333, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.02, 'P_200': 0.01, 'P_500': 0.004, 'P_1000': 0.002, 'ndcg': 0.163525063075488}
33072: {'map': 0.00777699097974122, 'bpref': 0.25, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.004, 'P_1000': 0.003, 'ndcg': 0.14486504426698704}
304: {'map': 0.23951890034364257, 'bpref': 0.6, 'P_5': 0.4, 'P_10': 0.2, 'P_15': 0.13333333333333333, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.03, 'P_200': 0.015, 'P_500': 0.006, 'P_1000': 0.003, 'ndcg': 0.4177495668850787}
307: {'map': 0.019161764645526, 'bpref': 0.19230769230769232, 'P_5': 0.2, 'P_10': 0.1, 'P_15': 0.13333333333333333, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.02, 'P_200': 0.01, 'P_500': 0.006, 'P_1000': 0.005, 'ndcg': 0.13628688377812712}
983351: {'map': 0.515625, 'bpref': 0.75, 'P_5': 0.4, 'P_10': 0.3, 'P_15': 0.2, 'P_20': 0.15, 'P_30': 0.1, 'P_100': 0.04, 'P_200': 0.02, 'P_500': 0.008, 'P_1000': 0.004, 'ndcg': 0.796970994916877}
